weight_method,col1_treatment,col1_spillover,col2_treatment,col2_spillover,col3_treatment,col3_spillover,col4_treatment,col4_spillover,col5_treatment,col5_spillover
Original,0.0029719196704965437,-0.03779244337463295,0.1097601612219873,0.0829673262030914,0.006038151559388469,0.026261233523862795,-0.006680353683295691,0.01308280345205676,0.15343840968619177,0.18562506679820018
Unweighted,-0.0013185428486700915,-0.04368953749265325,0.0959359181665577,0.059465979588677984,0.02236983541779678,0.03658799801008421,-0.005343520178928047,0.015523568951095756,0.15514206540238637,0.18316775139471445
Simple IPW,-0.0030069893742119616,-0.0410463649342248,0.10199284818745394,0.0719334412325412,0.018911498980466776,0.034838581192431016,0.0025681494268661124,0.02237506355808028,0.15711717884843485,0.18585500415127007
Stratified IPW,-0.02010064119191976,-0.059358193717965725,0.1076898134328229,0.07628154827112671,0.02536336569152105,0.0434709357319017,0.019108210109432824,0.03357914912047917,0.1719342558907705,0.1968925338612187
Hybrid (Best Match),-0.02453272383108332,-0.061208707133504126,0.11350298730826355,0.08514359779510644,0.025540142664524514,0.04249055655484276,0.024592565937017717,0.03812808258266093,0.17380285903935175,0.20035575921290172
