manzana,mnz_visit_count,mnz_correct_svy_avg,mnz_day_correct_avg,mnz_duration_patrol_avg,n_patrollers_avg
7600110000000018010115,5.0,1.0,0.6000000238418579,16.0,7.333333492279053
7600110000000018010133,5.0,1.0,1.0,9.199999809265137,7.599999904632568
7600110000000018010136,4.0,1.0,1.0,10.75,7.75
7600110000000018010152,5.0,1.0,1.0,9.800000190734863,7.599999904632568
7600110000000018010156,4.0,1.0,1.0,5.75,7.75
7600110000000018010157,5.0,1.0,1.0,9.0,7.599999904632568
7600110000000018010161,3.0,1.0,0.6666666865348816,10.0,8.5
7600110000000018010163,5.0,1.0,1.0,6.599999904632568,7.599999904632568
7600110000000018020105,4.0,1.0,1.0,9.25,7.75
7600110000000018020106,6.0,1.0,0.6666666865348816,12.166666984558105,8.75
7600110000000018020114,4.0,1.0,0.75,5.25,7.0
7600110000000018020117,5.0,1.0,0.800000011920929,22.600000381469727,8.75
7600110000000018020205,3.0,1.0,1.0,12.0,7.333333492279053
7600110000000018020216,5.0,1.0,0.800000011920929,12.25,7.800000190734863
7600110000000018020229,5.0,1.0,0.800000011920929,10.399999618530273,7.0
7600110000000018020234,6.0,1.0,0.6666666865348816,14.166666984558105,6.75
7600110000000018020305,5.0,1.0,0.6000000238418579,8.0,6.75
7600110000000018020326,5.0,1.0,0.6000000238418579,18.799999237060547,8.333333015441895
7600110000000018020328,6.0,1.0,0.6666666865348816,13.666666984558105,7.0
7600110000000018020348,4.0,1.0,0.75,7.25,8.666666984558105
7600110000000018020355,4.0,1.0,0.75,3.75,8.666666984558105
7600110000000018020359,5.0,1.0,0.800000011920929,4.199999809265137,7.800000190734863
7600110000000018030116,6.0,1.0,0.8333333134651184,9.833333015441895,7.0
7600110000000018030118,5.0,1.0,0.800000011920929,8.199999809265137,6.75
7600110000000018030127,6.0,1.0,0.6666666865348816,13.166666984558105,8.5
7600110000000018040102,4.0,1.0,0.75,12.75,8.0
7600110000000018040103,6.0,1.0,0.6666666865348816,21.0,8.5
7600110000000018050105,6.0,1.0,0.6666666865348816,10.5,7.800000190734863
7600110000000018050114,5.0,1.0,0.6000000238418579,7.199999809265137,7.25
7600110000000018060113,6.0,1.0,0.5,14.666666984558105,7.599999904632568
7600110000000018060205,4.0,1.0,0.75,14.0,7.333333492279053
7600110000000018060209,6.0,1.0,0.8333333134651184,10.833333015441895,7.0
7600110000000018060214,5.0,1.0,0.800000011920929,8.399999618530273,7.199999809265137
7600110000000018070107,5.0,1.0,0.800000011920929,10.199999809265137,7.199999809265137
7600110000000018070108,5.0,1.0,1.0,9.399999618530273,7.0
7600110000000018070113,2.0,1.0,1.0,7.0,7.0
7600110000000018070201,5.0,1.0,0.800000011920929,13.600000381469727,7.75
7600110000000018070214,3.0,1.0,1.0,12.333333015441895,8.333333015441895
7600110000000018070217,5.0,1.0,0.800000011920929,16.600000381469727,7.199999809265137
7600110000000018080101,4.0,1.0,0.75,24.75,7.75
7600110000000018080104,5.0,1.0,0.6000000238418579,13.600000381469727,7.5
7600110000000018080218,4.0,1.0,0.5,15.0,7.75
7600110000000018080223,5.0,1.0,0.800000011920929,10.399999618530273,7.25
7600110000000018090103,5.0,1.0,1.0,13.600000381469727,7.199999809265137
7600110000000018090106,5.0,1.0,0.800000011920929,14.199999809265137,7.75
7600110000000018090111,5.0,1.0,0.800000011920929,16.0,7.75
7600110000000018090118,3.0,1.0,1.0,13.666666984558105,8.333333015441895
7600110000000018100111,5.0,1.0,0.6000000238418579,9.600000381469727,7.333333492279053
7600110000000018100115,5.0,1.0,0.800000011920929,13.0,7.800000190734863
7600110000000018100201,5.0,1.0,1.0,7.0,7.199999809265137
7600110000000018100206,4.0,1.0,1.0,8.0,7.25
7600110000000018100210,3.0,1.0,1.0,8.333333015441895,8.333333015441895
7600110000000018100213,5.0,1.0,1.0,12.0,7.599999904632568
7600110000000018110111,5.0,1.0,0.800000011920929,10.0,7.25
7600110000000018110117,5.0,1.0,0.800000011920929,15.0,7.25
7600110000000018110123,2.0,1.0,1.0,10.0,8.0
7600110000000018110126,5.0,1.0,0.800000011920929,13.0,7.0
7600110000000018120111,5.0,1.0,0.800000011920929,10.399999618530273,7.0
7600110000000018130106,5.0,1.0,1.0,6.400000095367432,7.199999809265137
7600110000000018130114,5.0,1.0,0.800000011920929,13.199999809265137,7.25
7600110000000018130115,5.0,1.0,1.0,9.399999618530273,7.599999904632568
7600110000000018130119,3.0,1.0,1.0,15.0,8.333333015441895
7600110000000018130204,5.0,1.0,0.800000011920929,10.0,7.800000190734863
7600110000000018130217,2.0,1.0,1.0,11.5,7.5
7600110000000018140106,5.0,1.0,1.0,11.0,7.599999904632568
7600110000000018140117,5.0,1.0,0.800000011920929,9.0,7.5
7600110000000018140129,6.0,0.8333333134651184,1.0,15.0,7.400000095367432
7600110000000018140130,5.0,1.0,1.0,16.0,7.800000190734863
7600110000000018140133,6.0,1.0,0.6666666865348816,10.666666984558105,7.5
7600110000000018140207,4.0,1.0,1.0,11.5,7.5
7600110000000018140209,4.0,1.0,1.0,13.75,6.75
