manzana_code,number_buildings_sampling,prior_unw_crime2_num,prior_w_crime_num_std,order_id,survey_id,respondent_type,physical_abuse_police,physical_abuse_military,verbal_abuse_police,verbal_abuse_military,age,date,d_seen_police,d_seen_military,d_interacting_police,d_interacting_military,d_idchecking_police,d_idchecking_military,d_arresting_police,d_arresting_military,treatment,area,bat_min,cai_min,ptr_min,iweight,barrio_code,gender,abuse_police,abuse_military
7600110000000018140320,15.0,0.0,-0.4307519793510437,1,40621,2,0,0,0,0,74,2019-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1130.39111328125,1224.0496093213,889.517088126515,1554.99208388869,2.186589002609253,2,1,0.0,0.0
7600110000000018140321,9.0,0.0,-0.4307519793510437,2,7722,1,0,0,0,0,44,2019-11-23,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,577.8235473632812,1637.50379347361,1130.02642665683,1830.43115816396,11.627906799316406,26,1,0.0,0.0
7600110000000018140324,33.0,1.0,-0.0584522970020771,3,63023,2,0,0,0,0,44,2019-11-16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3977.65283203125,1469.86857222544,870.256148865486,1533.22070422825,3.797468423843384,26,1,0.0,0.0
7600110000000018140326,15.0,1.0,-0.0584522970020771,5,7825,2,0,0,0,0,66,2019-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1937.8282470703125,1392.15360014282,975.629508380566,1664.09433249672,10.0,2,1,0.0,0.0
7600110000000018140329,13.0,0.0,-0.4307519793510437,4,7924,2,0,0,0,0,34,2019-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2090.267578125,1422.77087986918,986.333257175686,1678.5121213324,11.904762268066406,26,0,0.0,0.0
7600110000000018140334,1.0,0.0,-0.4307519793510437,5,41425,2,0,0,0,0,48,2019-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,353.9735107421875,1439.41944276624,1016.29869317967,1706.87619546338,1.6910935640335083,2,0,0.0,0.0
7600110000000018140336,11.0,0.0,-0.4307519793510437,4,8034,2,0,0,0,0,28,2019-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1439.10205078125,1241.8096718704,918.317762288885,1581.92193306199,11.71875,2,0,0.0,0.0
7600110000000018140338,12.0,0.0,-0.4307519793510437,3,41733,2,0,0,0,0,70,2019-11-19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1111.4688720703125,1379.41250438828,909.599575914746,1605.18735744119,1.5,26,1,0.0,0.0
7600110000000018140339,4.0,1.0,1.3190566301345825,2,63152,2,0,0,0,0,19,2019-12-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.4890899658203,1356.95039143084,879.897191172256,1575.89176244224,3.3557045459747314,26,1,0.0,0.0
7600110000000018140343,15.0,0.0,-0.4307519793510437,2,42152,2,0,0,0,0,51,2019-12-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,405.82305908203125,1320.04625367835,872.176866603848,1563.68248520496,1.9505852460861206,26,0,0.0,0.0
7600110000000018140344,29.0,0.0,-0.4307519793510437,3,8133,2,0,0,0,0,50,2019-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2634.30517578125,1327.01563952392,892.25798011891,1581.97121245189,12.931035041809082,26,1,0.0,0.0
7600110000000018140401,51.0,1.0,-0.0584522970020771,5,8225,2,0,0,0,0,68,2019-11-26,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5716.21533203125,1750.7996108524,1199.2736206216,1850.01399967677,11.4503812789917,26,1,0.0,0.0
7600110000000018140425,22.0,0.0,-0.4307519793510437,3,8323,2,0,0,0,0,23,2019-11-14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3246.6337890625,1660.44985102236,1041.68225913636,1638.88394528862,11.363636016845703,26,1,0.0,0.0
7600110000000018140433,18.0,1.0,-0.0584522970020771,5,63325,2,0,0,0,0,26,2019-11-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.8247680664062,1642.89615478941,971.193946851542,1499.42989817421,3.253796339035034,26,0,0.0,0.0
7600110000000018140435,25.0,0.0,-0.4307519793510437,4,8424,1,0,0,0,0,35,2019-11-28,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2738.0888671875,1532.93923970945,874.114468084782,1452.63492346236,10.344827651977539,26,1,0.0,0.0
7600110000000018140438,9.0,0.0,-0.4307519793510437,1,8521,2,0,0,0,0,44,2019-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1030.93115234375,1656.93487191269,1017.36620590149,1589.11986083222,10.714285850524902,26,1,0.0,0.0
7600110000000018140441,21.0,0.0,-0.4307519793510437,3,8623,2,0,0,0,0,18,2019-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1682.784423828125,1568.8138402975,944.143981826693,1556.01612319949,10.638298034667969,26,1,0.0,0.0
7600110000000018140446,8.0,0.0,-0.4307519793510437,5,8735,2,0,0,0,0,53,2019-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2953.25927734375,1814.38114295416,1214.37517178966,1802.97129628167,11.029411315917969,26,1,0.0,0.0
7600110000000018140448,8.0,1.0,-0.0584522970020771,2,8822,2,0,0,0,0,21,2019-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,436.36669921875,1679.04556170929,1030.79205425119,1585.26368339385,11.194029808044434,26,1,0.0,0.0
7600110000000018140449,14.0,0.0,-0.4307519793510437,1,8911,2,0,0,0,0,63,2019-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1484.7528076171875,1594.37414496215,999.102270640428,1636.95381568005,10.791367530822754,26,1,0.0,0.0
7600110000000018140456,28.0,0.0,-0.4307519793510437,2,9032,1,0,0,0,0,59,2019-11-26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3272.071533203125,1763.12645506177,1168.17009368152,1772.06419908532,10.067113876342773,26,0,0.0,0.0
7600110000000018140457,24.0,0.0,-0.4307519793510437,5,9115,2,0,0,0,0,23,2019-11-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5311.3388671875,1724.46107093747,1093.03438102877,1660.15970093927,10.948905944824219,26,1,0.0,0.0
7600110000000018140460,2.0,0.0,-0.4307519793510437,2,9212,2,0,0,0,0,49,2019-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,350.67669677734375,1662.13517590253,1091.51747284191,1739.90172274509,10.13513469696045,26,0,0.0,0.0
7600110000000018140463,13.0,0.0,-0.4307519793510437,4,45114,1,0,0,0,0,39,2019-11-28,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,770.69921875,1643.63803763442,1079.23128763013,1736.991200475,1.560874104499817,26,0,0.0,0.0
7600110000000018140469,48.0,0.0,-0.4307519793510437,2,45632,2,0,0,0,0,35,2019-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1730.4688720703125,1660.62668534419,1243.63709189935,1942.97793041231,1.6129032373428345,26,1,0.0,0.0
7600110000000018140518,23.0,1.0,-0.0584522970020771,3,63633,2,0,0,0,0,24,2019-11-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3206.4560546875,2035.72642763017,1327.24237659438,1687.03703911158,1.8359854221343994,26,1,0.0,0.0
7600110000000018140520,63.0,1.0,0.8669783473014832,1,63731,2,0,0,0,0,73,2019-11-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12704.79296875,1894.81722980322,1178.06723283452,1547.62572838275,3.393665075302124,26,0,0.0,0.0
7600110000000018140523,62.0,1.0,-0.0584522970020771,5,45915,2,0,0,0,0,21,2019-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6553.333984375,1637.30107638907,934.268572618743,1406.90713142219,1.7730495929718018,26,1,0.0,0.0
7600110000000018140573,41.0,2.0,0.3138473927974701,4,9314,2,0,0,0,0,64,2019-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3401.1171875,1666.59519619696,953.9987421782,1396.59971646845,12.711864471435547,26,1,0.0,0.0
7600110000000018140579,51.0,0.0,0.7433217167854309,1,9411,2,0,0,0,0,27,2019-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8914.3466796875,1743.74955532701,1053.40165260377,1521.47336936366,9.868420600891113,26,1,0.0,0.0
7600110000000018140580,11.0,0.0,-0.4307519793510437,5,46215,2,0,0,0,0,30,2019-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1105.6234130859375,1783.005556695,1106.17712443105,1589.88776990849,1.8939393758773804,26,1,0.0,0.0
7600110000000018140584,8.0,0.0,-0.4307519793510437,5,9535,2,0,0,0,0,47,2019-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2177.64990234375,1877.0302164372,1209.67778008144,1689.18849417259,12.931035041809082,26,1,0.0,0.0
7600110000000018140607,57.0,2.0,3.0688652992248535,5,64025,2,0,0,0,0,52,2019-12-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9797.2021484375,1250.29909116917,1094.31424362116,1756.47371214982,14.018691062927246,2,0,0.0,0.0
7600110000000018140608,20.0,0.0,-0.4307519793510437,4,9624,1,0,0,0,0,78,2019-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2221.761474609375,1366.1754686176,1080.00048142431,1758.98135425802,10.948905944824219,2,1,0.0,0.0
7600110000000018140618,41.0,0.0,-0.4307519793510437,1,46721,2,0,0,0,0,22,2019-12-03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3313.718505859375,1402.22690350315,1055.41203341988,1738.6015749085,1.5527950525283813,2,0,0.0,0.0
7600110000000018140637,11.0,0.0,-0.4307519793510437,2,64412,2,0,0,0,0,27,2019-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1359.12646484375,1204.29403990913,1199.16388989876,1855.56427500455,4.109589099884033,2,0,0.0,0.0
7600110000000018140644,,0.0,-0.4307519793510437,2,64812,2,0,0,0,0,50,2019-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.9231414794922,1513.83642229166,1104.16178794706,1797.54301109776,4.201680660247803,2,0,0.0,0.0
7600110000000018140651,14.0,0.0,-0.4307519793510437,5,65315,2,0,0,0,0,32,2019-12-03,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,673.0557861328125,1431.94645750742,1127.26787164281,1813.6049731399,4.411764621734619,2,1,0.0,0.0
7600110000000018140654,94.0,0.0,-0.4307519793510437,1,47211,2,0,0,0,0,41,2019-12-03,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8021.4912109375,1365.49279287573,1166.49589923804,1845.55613521569,1.3837637901306152,2,1,0.0,0.0
7600110000000018140707,14.0,0.0,-0.4307519793510437,3,9713,1,0,0,0,0,25,2019-12-07,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,610.16064453125,139.891951878901,1816.8124448819,1923.42899511279,15.306121826171875,22,0,0.0,0.0
7600110000000018140751,23.0,0.0,-0.4307519793510437,1,66011,1,0,0,0,0,63,2019-12-07,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1041.639404296875,303.120889662119,1648.82875632969,1894.91435856642,2.3364486694335938,22,0,0.0,0.0
7600110000000018140803,20.0,0.0,-0.4307519793510437,2,9852,2,0,0,0,0,53,2019-12-10,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1730.982666015625,620.763383813976,1451.08795341588,1961.94179312857,10.638298034667969,25,1,0.0,0.0
7600110000000018140806,24.0,0.0,-0.4307519793510437,2,9952,2,0,0,0,0,50,2019-12-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1883.42724609375,752.498930523776,1433.70139302606,2001.53863059325,13.274335861206055,25,1,0.0,0.0
7600110000000018140809,19.0,0.0,-0.4307519793510437,1,66121,2,0,0,0,0,49,2019-12-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2502.2998046875,696.757540252356,1305.08487345117,1841.14181697261,2.145922899246216,25,1,0.0,0.0
7600110000000018140810,27.0,0.0,-0.4307519793510437,2,66222,2,0,0,0,0,64,2019-12-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6028.208984375,736.927603036889,1255.28905963189,1796.3675152915,5.639097690582275,25,0,0.0,0.0
7600110000000018140816,103.0,0.0,-0.4307519793510437,1,10061,2,0,0,0,0,79,2019-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11692.7958984375,515.373608154968,1514.25321212542,1936.76966806154,13.274335861206055,25,0,0.0,0.0
