manzana,prior_homicides_num,prior_robberies_num,prior_drugdeal_num,prior_wbearing_num,prior_unw_crime2_num,iweight,number_buildings_sampling,area,bat_min,cai_min,ptr_min,barrio_code,control,treat,spillover
7600110000000020090314,0.0,0.0,0.0,0.0,0.0,1.6835017204284668,14.0,2058.1572265625,4538.30890352849,3077.48966256422,190.04853141165,28,0.0,0.0,1.0
7600110000000020090315,0.0,0.0,0.0,0.0,0.0,11.904762268066406,23.0,1953.346435546875,4435.43948173202,3152.25162642206,105.988508793473,28,0.0,1.0,0.0
7600110000000020090316,0.0,0.0,0.0,0.0,0.0,1.557632327079773,8.0,1362.078125,4477.0298989307,3166.2938532645,122.649538931763,29,0.0,0.0,1.0
7600110000000020090317,0.0,0.0,0.0,0.0,0.0,4.31034517288208,6.0,718.8956909179688,4288.07083974856,3360.52125591059,175.259776182646,29,1.0,0.0,0.0
7600110000000020090318,0.0,1.0,0.0,0.0,1.0,1.2679628133773804,73.0,9803.8642578125,4322.37836605871,3321.86721396612,87.2054630545831,28,0.0,0.0,1.0
7600110000000020090319,0.0,0.0,1.0,0.0,1.0,1.3286094665527344,61.0,7641.759765625,4362.23957559777,3283.8576724539,120.438423293581,29,0.0,0.0,1.0
7600110000000020090320,0.0,0.0,0.0,0.0,0.0,4.451038360595703,21.0,1536.0711669921875,4518.03554522204,3066.15929966006,191.776360862259,28,1.0,0.0,0.0
7600110000000020090321,0.0,0.0,0.0,0.0,0.0,1.7985612154006958,2.0,512.7024536132812,4454.08112858138,3189.43641241636,106.555883289894,29,0.0,0.0,1.0
7600110000000020090322,0.0,0.0,0.0,0.0,0.0,2.158273458480835,4.0,357.67486572265625,4312.91628536561,3333.61293225727,136.925102516667,29,1.0,0.0,0.0
7600110000000020090401,0.0,0.0,0.0,0.0,0.0,1.943005084991455,25.0,1464.2000732421875,4296.58821139099,3340.07972422679,82.5339096235993,28,0.0,0.0,1.0
7600110000000020090407,0.0,0.0,0.0,0.0,0.0,12.5,6.0,522.076904296875,4279.02330280256,3261.79969406324,129.363035051809,28,0.0,1.0,0.0
7600110000000020090408,0.0,0.0,0.0,0.0,0.0,1.5321756601333618,13.0,1706.9986572265625,4259.93167258635,3269.57564252586,152.245181657804,28,0.0,0.0,1.0
7600110000000020090410,0.0,0.0,0.0,0.0,0.0,3.5971224308013916,28.0,2674.499755859375,4298.81058268333,3175.18762014971,238.379376522434,28,1.0,0.0,0.0
7600110000000020090411,0.0,0.0,0.0,0.0,0.0,1.5991472005844116,39.0,4528.201171875,4324.3351763168,3127.47927042098,283.972803559318,28,0.0,0.0,1.0
7600110000000020090417,0.0,0.0,0.0,0.0,0.0,12.931035041809082,34.0,4243.39404296875,4320.61570844555,3278.58171665608,42.1749311730142,28,0.0,1.0,0.0
7600110000000020090418,0.0,0.0,0.0,0.0,0.0,3.456221103668213,7.0,727.7587280273438,4365.96344944383,3122.35864742836,224.405999338398,28,1.0,0.0,0.0
7600110000000020090419,0.0,0.0,0.0,0.0,0.0,1.4734774827957153,29.0,2721.341552734375,4406.87723081689,3168.36168318438,97.1493514897012,28,0.0,0.0,1.0
7600110000000020090420,1.0,2.0,0.0,0.0,3.0,1.4124293327331543,15.0,2264.7470703125,4319.89164480863,3194.01756524484,167.361606676941,28,0.0,0.0,1.0
